"","syntax","text","order","preposition","mainform","mainfunc","subform","subfunc","transitivity","vendler","context"
"62","adverbial","narrative",NA,"wrth","Verb","S/A","implizit","S/A","reflexive","activity","S/A=S/A(UP)implicit"
"63","adverbial","historic",NA,"yn","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"64","adverbial","narrative","after","yn","PP","G","implizit","S/A","reflexive","activity","G=S/A(UP)implicit"
"65","adverbial","historic","after","heb","Verb","S/A","Posspro","P","either","achievement",NA
"66","adverbial","narrative","after","heb","NP","S/A","PP","G","transitive","state",NA
"67","adverbial","historic","after","heb",NA,NA,NA,NA,"transitive","state",NA
"68","adverbial","narrative","after",NA,NA,NA,NA,NA,"transitive","state",NA
"69","adverbial","narrative","after","heb","Verb","S/A","PP","P","transitive","achievement",NA
"70","adverbial","narrative","after","yn","NP","P","implizit","S/A","reflexive","activity","P=S/A(UP)implicit"
"71","adverbial","narrative","after","yn","NP","P","implizit","S/A","transitive","achievement","P=S/A(UP)implicit"
"72","adverbial","narrative","after","heb","NP","P","implizit","S/A","transitive","activity","P=S/A(UP)implicit"
"73","adverbial","historic","after","yn","Verb","S/A","implizit","S/A","reflexive","activity","S/A=S/A(UP)implicit"
"74","adverbial","historic","after","yn","Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"75","adverbial","historic","after",NA,"Verb","S/A","implizit","S/A","intransitive","state","S/A=S/A(UP)implicit"
"76","adverbial","historic","after","gan","NP","S/A","implizit","S/A","transitive","accomplishment","S/A=S/A(UP)implicit"
"77","adverbial","historic","after","gan","Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"78","adverbial","historic","after",NA,"NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"79","adverbial","historic","after","gan","PP","S/A","implizit","S/A","transitive","state","S/A=S/A(UP)implicit"
"80","adverbial","narrative","after","heb","PP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"81","adverbial","narrative","after","gan","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"82","adverbial","narrative","after","wrth","Pro","S/A","Posspro","S/A","transitive","activity","S/A=S/A(UP)implicit"
