"","syntax","text","order","preposition","mainform","mainfunc","subform","subfunc","transitivity","vendler","context"
"263","adverbial","narrative","after","y","Verb","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"264","adverbial","narrative","after","y","Verb","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"265","adverbial","narrative","after","y","Verb","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"266","adverbial","narrative","after","y","Verb","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"267","adverbial","narrative","after","y","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"268","adverbial","narrative","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"269","adverbial","narrative","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"270","adverbial","historic","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"271","adverbial","historic","after","y","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"272","adverbial","historic","after","y","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"273","adverbial","narrative","after","y","implizit","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"274","adverbial","narrative","after","y","Pro","S/A","implizit","S/A","intransitive","achievement","S/A=S/A(UP)implicit"
"275","adverbial","historic","after","wrth","Pro","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"276","adverbial","historic","after","wrth","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"277","adverbial","narrative","after","y","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"278","adverbial","historic","after",NA,"Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"279","adverbial","historic","after","y","Verb","S/A","implizit","S/A","transitive","accomplishment","S/A=S/A(UP)implicit"
"280","adverbial","historic","after","y","Verb","S/A","implizit","S/A","transitive","accomplishment","S/A=S/A(UP)implicit"
"281","adverbial","historic","after","y","PP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"282","adverbial","historic","after","y","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"283","adverbial","narrative","after","y","Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"284","adverbial","narrative","after","y","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"285","adverbial","narrative","after","y","Pro","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"286","adverbial","narrative","after","y","Posspro","P","PP","P","transitive","achievement","S/A=S/A(UP)implicit"
"287","adverbial","narrative","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"288","adverbial","narrative","after","y","NP","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"289","adverbial","narrative","after","y","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"290","adverbial","narrative","after","y","Pro","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"291","adverbial","narrative","after","y","Pro","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"292","adverbial","narrative","after","y","Pro","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"293","adverbial","narrative","after","y","Posspro","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"294","adverbial","narrative","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"295","adverbial","narrative","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"296","adverbial","historic","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"297","adverbial","historic","after","y","Pro","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"298","adverbial","historic","after","y","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"299","adverbial","historic","after","y","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"300","adverbial","historic","after","y","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"301","adverbial","historic","after","y","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"302","adverbial","historic","after","y","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"303","adverbial","historic","after","y","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"304","adverbial","narrative","after","y","Verb","S/A","implizit","S/A","intransitive","state","S/A=S/A(UP)implicit"
"305","adverbial","historic","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"306","adverbial","narrative","after","y","Pro","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"307","adverbial","historic","after","wrth","NP","P","Posspro","P","transitive","activity","S/A=S/A(UP)implicit"
"308","adverbial","historic","after","wrth","Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"309","adverbial","historic","after","wrth","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"310","adverbial","historic","after","wrth","Verb","S/A","implizit","S/A","transitive","accomplishment","S/A=S/A(UP)implicit"
"311","adverbial","historic","after","wrth","implizit","S/A","implizit","S/A","reflexive","activity","S/Aimplicit=S/A(UP)implicit"
"312","adverbial","historic","after","y","implizit","S/A","implizit","S/A","transitive","accomplishment","S/Aimplicit=S/A(UP)implicit"
"313","adverbial","historic","after","y","implizit","S/A","implizit","S/A","transitive","accomplishment","S/Aimplicit=S/A(UP)implicit"
"314","adverbial","historic","after","y","implizit","S/A","implizit","S/A","transitive","achievement","S/Aimplicit=S/A(UP)implicit"
"315","adverbial","narrative","after","y","implizit","S/A","implizit","S/A","transitive","activity","S/Aimplicit=S/A(UP)implicit"
"316","adverbial","historic","after","y","implizit","S/A","implizit","S/A","transitive","achievement","S/Aimplicit=S/A(UP)implicit"
"317","adverbial","historic","after","y","implizit","S/A","implizit","S/A","transitive","achievement","S/Aimplicit=S/A(UP)implicit"
"318","adverbial","historic","after","y","implizit","S/A","implizit","S/A","transitive","achievement","S/Aimplicit=S/A(UP)implicit"
"319","adverbial","historic","after","y","implizit","S/A","implizit","S/A","transitive","achievement","S/Aimplicit=S/A(UP)implicit"
"320","adverbial","historic","after","y","implizit","S/A","implizit","S/A","transitive","achievement","S/Aimplicit=S/A(UP)implicit"
"321","adverbial","historic","after","y","implizit","S/A","implizit","S/A","transitive","achievement","S/Aimplicit=S/A(UP)implicit"
"322","adverbial","historic","after","wrth","implizit","S/A","implizit","S/A","transitive","activity","S/Aimplicit=S/A(UP)implicit"
"323","adverbial","historic","after","y","implizit","S/A","implizit","S/A","intransitive","activity","S/Aimplicit=S/A(UP)implicit"
"324","adverbial","historic","after","y","implizit","S/A","PP","S/A","either","achievement","S/Aimplicit=S/A(UP)implicit"
"325","adverbial","narrative","after","y","implizit","S/A","implizit","S/A","transitive","achievement","S/Aimplicit=S/A(UP)implicit"
"326","adverbial","historic","after","y","implizit","S/A","implizit","S/A","transitive","activity","S/Aimplicit=S/A(UP)implicit"
"327","adverbial","historic","after","y","implizit","S/A","implizit","S/A","transitive","activity","S/Aimplicit=S/A(UP)implicit"
"328","adverbial","historic","after","y","implizit","S/A","implizit","S/A","transitive","activity","S/Aimplicit=S/A(UP)implicit"
"329","adverbial","historic","after","y","implizit","S/A","implizit","S/A","either","achievement","S/Aimplicit=S/A(UP)implicit"
"330","adverbial","narrative","before","y","Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"331","adverbial","historic","after","gan","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"332","adverbial","historic","after","o","Verb","S/A","implizit","S/A","either","activity","S/A=S/A(UP)implicit"
"333","adverbial","historic","after","o","Verb","S/A","implizit","S/A","either","activity","S/A=S/A(UP)implicit"
"334","adverbial","historic","after","yn","NP","S/A","implizit","S/A","either","activity","S/A=S/A(UP)implicit"
"335","adverbial","historic","after","gan","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"336","adverbial","narrative","after","yn","Pro","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"337","adverbial","narrative","after","yn","Pro","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"338","adverbial","narrative","after","yn","Pro","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"339","adverbial","narrative","after","yn","PP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"340","adverbial","narrative","after","heb","Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"341","adverbial","historic","after","gan","Pro","S/A","implizit","S/A","either","activity","S/A=S/A(UP)implicit"
"342","adverbial","historic","after","o","Verb","S/A","implizit","S/A","either","achievement","S/A=S/A(UP)implicit"
"343","adverbial","historic","after","gan","implizit","S/A","implizit","S/A","transitive","accomplishment","S/Aimplicit=S/A(UP)implicit"
"344","adverbial","historic","after","gan","implizit","S/A","implizit","S/A","transitive","achievement","S/Aimplicit=S/A(UP)implicit"
"345","adverbial","historic","before","gan","Verb","S/A","implizit","S/A","either","activity","S/A=S/A(UP)implicit"
"346","adverbial","historic","after",NA,"Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"347","adverbial","historic","after",NA,"implizit","S/A","implizit","S/A","transitive","activity","S/Aimplicit=S/A(UP)implicit"
"348","adverbial","historic",NA,"am","NP","Poss","Posspro","Poss","either","achievement",NA
"349","adverbial","narrative",NA,"o","NP","S/A","implizit","S/A","transitive","state","S/A=S/A(UP)implicit"
"350",NA,"historic","after","o","Verb","S/A","implizit","S/A","transitive","state","S/A=S/A(UP)implicit"
"351",NA,"historic","after","o","Verb","S/A","implizit","S/A","transitive","state","S/A=S/A(UP)implicit"
"352","adverbial","historic","after","wrth","NP","P","Posspro","Poss","intransitive","state",NA
"353","adverbial","historic","after","wrth","NP","P","Posspro","Poss","intransitive","state",NA
"354","adverbial","historic","after","wrth","Posspro","Poss","Posspro","S/A","intransitive","achievement",NA
"355","adverbial","historic","after","am","Verb","S/A","Posspro","Poss","either","achievement",NA
"356","adverbial","historic","after","am","Verb","S/A","PP","P","transitive","activity",NA
"357","adverbial","narrative","after","namyn","PP","G","PP",NA,"transitive","state",NA
"358","adverbial","historic","after","am","Verb","S/A","Posspro","Poss","either","achievement",NA
"359","adverbial","narrative","after","wrth",NA,NA,NA,NA,"intransitive","state",NA
"360","adverbial","narrative","after","am","implizit","P","Posspro","P","transitive","activity",NA
"361","adverbial","narrative","after","y",NA,NA,NA,NA,"transitive","activity",NA
"362","adverbial","narrative","after","am","NP","S/A","Posspro","P","transitive","achievement",NA
"363","adverbial","historic","after","am",NA,NA,NA,NA,"transitive","activity",NA
"364","adverbial","narrative","after","am","PP","G","Posspro","Poss","intransitive","state",NA
"365","adverbial","narrative","after","gan","Posspro","Poss","Posspro","S/A","intransitive","state",NA
"366","adverbial","narrative","after","wrth",NA,NA,NA,NA,"intransitive","state",NA
"367","adverbial","historic","after","rac","NP","P","PP","S/A","intransitive","state","P=S/A(UP)"
"368","adverbial","narrative","after","am","Pro","P","implizit","S/A","either","achievement","P=S/A(UP)implicit"
"369","adverbial","narrative","after",NA,"PP","P","implizit","S/A","reflexive","activity","P=S/A(UP)implicit"
"370","adverbial","historic","after","wrth","Verb","S/A","PP","S/A","intransitive","state","S/A=S/A(UP)"
"371","adverbial","historic","after","am","NP","S/A","PP","S/A","transitive","achievement","S/A=S/A(UP)"
"372","adverbial","historic","after","wrth","Verb","S/A","Posspro","S/A","intransitive","state","S/A=S/A(UP)"
"373","adverbial","narrative","after","o","Verb","S/A","implizit","S/A","transitive","state","S/A=S/A(UP)implicit"
"374","adverbial","narrative","after","o","NP","S/A","implizit","S/A","transitive","state","S/A=S/A(UP)implicit"
"375","adverbial","narrative","after","o","Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"376","adverbial","narrative","after","o","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"377","adverbial","narrative","after",NA,"Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"378","adverbial","narrative","after","o","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"379","adverbial","narrative","after","o","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"380","adverbial","historic","after","am","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"381","adverbial","narrative","after","o","Verb","S/A","implizit","S/A","intransitive","state","S/A=S/A(UP)implicit"
"382","adverbial","historic","after","am","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"383","adverbial","historic","after","o","implizit","S/A","implizit","S/A","transitive","state","S/Aimplicit=S/A(UP)implicit"
"384","adverbial","narrative","before","o",NA,NA,NA,NA,"intransitive","achievement",NA
"385","adverbial","narrative","before","o",NA,NA,NA,NA,"transitive","activity",NA
"386","adverbial","narrative","before","o","Pro","P","PP","S/A","transitive","achievement","P=S/A(UP)"
"387","adverbial","narrative","before","o","Verb","S/A","PP","S/A","transitive","state","S/A=S/A(UP)implicit"
"388","complementive","narrative","after","y","PP","G","implizit","S/A","either","achievement","G=S/A(UP)implicit"
"389","complementive","narrative","after","o","Pro","S/A","Posspro","S/A","transitive","state","S/A=S/A(UP)"
"390","adverbial","historic","after","gan","Verb","S/A","PP","G","transitive","activity",NA
"391","adverbial","historic",NA,"yn","NP","S/A","implizit","S/A","transitive","accomplishment","S/A=S/A(UP)implicit"
"392",NA,"historic",NA,"yn","NP","S/A","implizit","S/A","reflexive","activity","S/A=S/A(UP)implicit"
"393",NA,"historic","after","yn","Pro","P","implizit","S/A","intransitive","activity","P=S/A(UP)implicit"
"394","adverbial","narrative","after","yn","PP","S/A","implizit","S/A","reflexive","activity","S/A=S/A(UP)implicit"
"395","adverbial","narrative","after","yn","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"396","adverbial","narrative","after","yn","Pro","S/A","implizit","S/A","intransitive","state","S/A=S/A(UP)implicit"
"397","adverbial","historic","after","yn","NP","S/A","implizit","S/A","either","activity","S/A=S/A(UP)implicit"
"398","adverbial","historic","after","yn","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"399","adverbial","narrative","after","yn","Verb","S/A","implizit","S/A","transitive","accomplishment","S/A=S/A(UP)implicit"
"400","adverbial","narrative","after","yn","Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"401","adverbial","narrative","after","yn","NP","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"402","adverbial","narrative","after","yn","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"403","adverbial","narrative","after","yn","NP","S/A","implizit","S/A","intransitive","achievement","S/A=S/A(UP)implicit"
"404","adverbial","historic","after","yn","Verb","S/A","implizit","S/A","transitive","accomplishment","S/A=S/A(UP)implicit"
"405","adverbial","narrative","after","yn","NP","S/A","implizit","S/A","either","activity","S/A=S/A(UP)implicit"
"406","adverbial","historic","after","yn","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"407","adverbial","historic","after","yn","Posspro","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"408",NA,"historic","after","yn","Posspro","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"409",NA,"historic","after","yn","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"410","complementive","narrative","after","o","NP","P","implizit","S/A","reflexive","activity","P=S/A(UP)implicit"
"411","complementive","historic","after","y","Posspro","P","implizit","S/A","transitive","accomplishment","P=S/A(UP)implicit"
"412","complementive","narrative","after","y","Posspro","P","implizit","S/A","intransitive","activity","P=S/A(UP)implicit"
"413","complementive","narrative","after","y","Pro","P","implizit","S/A","intransitive","activity","P=S/A(UP)implicit"
"414","complementive","narrative","after","y","NP","P","implizit","S/A","intransitive","activity","P=S/A(UP)implicit"
"415","complementive","narrative","after","y","NP","P","implizit","S/A","either","achievement","P=S/A(UP)implicit"
"416","complementive","narrative","after","am","PP","P","implizit","S/A","transitive","activity","P=S/A(UP)implicit"
"417","complementive","historic","after","y","Posspro","P","implizit","S/A","intransitive","activity","P=S/A(UP)implicit"
"418","complementive","historic","after","y","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"419","complementive","historic","after","heb","Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"420","adverbial","historic",NA,"gan","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"421","adverbial","historic","after","gan","implizit","S/A","implizit","S/A","transitive","achievement","S/Aimplicit=S/A(UP)implicit"
"422","adverbial","historic","before","gan","Verb","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"423","complementive","historic","after","yn","NP","P","implizit","S/A","reflexive","activity","P=S/A(UP)implicit"
"424","complementive","narrative",NA,"y",NA,NA,"implizit","S/A","transitive","activity",NA
"425","complementive","narrative",NA,"y","Verb","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"426","complementive","narrative",NA,"y","Verb","S/A","implizit","S/A","either","activity","S/A=S/A(UP)implicit"
"427","complementive","narrative","after","y","PP","G","implizit","S/A","transitive","activity","G=S/A(UP)implicit"
"428","complementive","narrative","after","y",NA,NA,NA,NA,"intransitive","activity",NA
"429","complementive","narrative","after","ar",NA,NA,NA,NA,"transitive","accomplishment",NA
"430","complementive","narrative","after","y",NA,NA,NA,NA,"intransitive","activity",NA
"431","complementive","narrative","after","y",NA,NA,NA,NA,"transitive","activity",NA
"432","complementive","narrative","after","y",NA,NA,NA,NA,"transitive","activity",NA
"433","complementive","narrative","after","y","PP","P","implizit","S/A","transitive","accomplishment","P=S/A(UP)implicit"
"434","complementive","narrative","after","y","NP","P","implizit","S/A","transitive","achievement","P=S/A(UP)implicit"
"435","adverbial","narrative","after","y","Verb","S/A","implizit","S/A","reflexive","activity","S/A=S/A(UP)implicit"
"436","complementive","narrative","after","y","Verb","S/A","implizit","S/A","reflexive","activity","S/A=S/A(UP)implicit"
"437","complementive","narrative","after","y","NP","S/A","implizit","S/A","reflexive","activity","S/A=S/A(UP)implicit"
"438","complementive","narrative","after","y","NP","S/A","implizit","S/A","reflexive","activity","S/A=S/A(UP)implicit"
"439","complementive","narrative","after","y","NP","S/A","implizit","S/A","reflexive","activity","S/A=S/A(UP)implicit"
"440","complementive","narrative","after","y","Verb","S/A","implizit","S/A","reflexive","activity","S/A=S/A(UP)implicit"
"441","complementive","narrative","after","y","Verb","S/A","implizit","S/A","reflexive","activity","S/A=S/A(UP)implicit"
"442","adverbial","narrative","after","y","implizit","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"443","complementive","narrative","after","y","Verb","S/A","implizit","S/A","reflexive","activity","S/A=S/A(UP)implicit"
"444","complementive","historic","after","y","NP","S/A","implizit","S/A","reflexive","activity","S/A=S/A(UP)implicit"
"445","complementive","historic","after","y","Verb","S/A","implizit","S/A","reflexive","activity","S/A=S/A(UP)implicit"
"446","complementive","narrative","after","y","Verb","S/A","implizit","S/A","reflexive","achievement","S/A=S/A(UP)implicit"
"447","complementive","narrative","after","y","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"448","complementive","historic","after","y","NP","S/A","implizit","S/A","intransitive","accomplishment","S/A=S/A(UP)implicit"
"449","complementive","historic","after","y","NP","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"450","complementive","historic","after","y","Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"451","complementive","historic","after","y","Verb","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"452","complementive","narrative","after","y","Verb","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"453","complementive","narrative","after","y","Pro","S/A","implizit","S/A","either","activity","S/A=S/A(UP)implicit"
"454","complementive","narrative","after","y","NP","S/A","implizit","S/A","either","activity","S/A=S/A(UP)implicit"
"455","complementive","narrative","after","y","NP","S/A","implizit","S/A","either","activity","S/A=S/A(UP)implicit"
"456","complementive","narrative","after","y","Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"457","complementive","narrative","after","y","Pro","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"458","complementive","narrative","after","y","Pro","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"459","complementive","narrative","after","y","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"460","complementive","narrative","after","y","Verb","S/A","implizit","S/A","transitive","state","S/A=S/A(UP)implicit"
"461","complementive","narrative","after","y","Pro","S/A","implizit","S/A","transitive","state","S/A=S/A(UP)implicit"
"462","complementive","narrative","after","y","Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"463","complementive","historic","after","y","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"464","complementive","narrative","after","y","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"465","complementive","narrative","after","y","NP","S/A","implizit","S/A","transitive","accomplishment","S/A=S/A(UP)implicit"
"466","complementive","narrative","after","y","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"467","complementive","narrative","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"468","complementive","historic","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"469","complementive","narrative","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"470","complementive","narrative","after","y","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"471","complementive","narrative","after","y","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"472","complementive","narrative","after","y","Pro","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"473","complementive","narrative","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"474","complementive","narrative","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"475","complementive","historic","after","y","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"476","complementive","narrative","after","y","Verb","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"477","complementive","narrative","after","y","Verb","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"478","complementive","narrative","after","y","Pro","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"479","complementive","narrative","after","y","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"480","complementive","narrative","after","y","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"481","complementive","narrative","after","y","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"482","complementive","narrative","after","y","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"483","complementive","narrative","after","y","Pro","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"484","complementive","narrative","after","y","Pro","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"485","complementive","narrative","after","y","Pro","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"486","complementive","narrative","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"487","complementive","narrative","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"488","complementive","narrative","after","y","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"489","complementive","historic","after","y","NP","S/A","implizit","S/A","transitive","accomplishment","S/A=S/A(UP)implicit"
"490","adverbial","narrative","after","y","Verb","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"491","complementive","narrative","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"492","complementive","narrative","after","y","Verb","S/A","implizit","S/A","intransitive","activity","S/A=S/A(UP)implicit"
"493","complementive","narrative","after","y","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"494","complementive","narrative","after","y","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"495","complementive","narrative","after","y","NP","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"496","complementive","narrative","after","y","Verb","S/A","implizit","S/A","transitive","activity","S/A=S/A(UP)implicit"
"497","complementive","narrative","after","y","PP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"498","adverbial","narrative","after","y","Verb","S/A","implizit","S/A","transitive","accomplishment","S/A=S/A(UP)implicit"
"499","complementive","historic","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"500","complementive","historic","after","y","Posspro","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"501","complementive","narrative","after","y","PP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"502","complementive","historic","after","y","NP","S/A","implizit","S/A","transitive","achievement","S/A=S/A(UP)implicit"
"503","complementive","historic","after","y","implizit","S/A","NP","S/A","reflexive","activity",NA
"504","complementive","historic","after","y","implizit","S/A","implizit","S/A","reflexive","activity","S/Aimplicit=S/A(UP)implicit"
"505","complementive","narrative","after","y","implizit","S/A","implizit","S/A","either","activity","S/Aimplicit=S/A(UP)implicit"
"506","complementive","narrative","after","y","implizit","S/A","implizit","S/A","transitive","achievement","S/Aimplicit=S/A(UP)implicit"
"507","complementive","narrative","after","y","implizit","S/A","implizit","S/A","transitive","achievement","S/Aimplicit=S/A(UP)implicit"
"508","complementive","narrative","after","y","implizit","S/A","implizit","S/A","transitive","activity","S/Aimplicit=S/A(UP)implicit"
"509","complementive","narrative","after","y","implizit","S/A","implizit","S/A","transitive","activity","S/Aimplicit=S/A(UP)implicit"
"510","adverbial","historic","after","y","implizit","S/A","implizit","S/A","transitive","activity","S/Aimplicit=S/A(UP)implicit"
"511","complementive","narrative","after","y","implizit","S/A","implizit","S/A","transitive","achievement","S/Aimplicit=S/A(UP)implicit"
"512","complementive","historic","after","y","implizit","S/A","implizit","S/A","transitive","achievement","S/Aimplicit=S/A(UP)implicit"
"513","complementive","narrative","after","y","implizit","S/A","implizit","S/A","reflexive","activity","S/Aimplicit=S/A(UP)implicit"
"514","complementive","historic","after","y","implizit","S/A","implizit","S/A","transitive","activity","S/Aimplicit=S/A(UP)implicit"
"515","complementive","narrative","after","y","implizit","S/A","implizit","S/A","either","activity","S/Aimplicit=S/A(UP)implicit"
"516","complementive","narrative","after","y","implizit","S/A","implizit","S/A","either","activity","S/Aimplicit=S/A(UP)implicit"
"517","complementive","narrative","after","y","implizit","S/A","implizit","S/A","transitive","activity","S/Aimplicit=S/A(UP)implicit"
"518","complementive","historic","after","y","implizit","S/A","implizit","S/A","transitive","achievement","S/Aimplicit=S/A(UP)implicit"
"519","complementive","narrative","after","y","implizit","S/A","implizit","S/A","transitive","achievement","S/Aimplicit=S/A(UP)implicit"
"520","complementive","narrative","after","y","implizit","S/A","implizit","S/A","intransitive","activity","S/Aimplicit=S/A(UP)implicit"
"521","complementive","narrative","after","y","implizit","S/A","implizit","S/A","transitive","achievement","S/Aimplicit=S/A(UP)implicit"
